date,category,count,avg_process_time
2024-01-01,問い合わせ,12,15
2024-01-01,申請処理,8,22
2024-01-02,問い合わせ,18,14
2024-01-02,申請処理,10,20
2024-01-03,問い合わせ,20,13
2024-01-03,申請処理,12,19
2024-01-04,問い合わせ,16,15
2024-01-04,申請処理,9,21
2024-01-05,問い合わせ,22,12
2024-01-05,申請処理,11,18

2024-01-08,問い合わせ,19,14
2024-01-08,申請処理,10,20
2024-01-09,問い合わせ,21,13
2024-01-09,申請処理,13,19
2024-01-10,問い合わせ,17,15
2024-01-10,申請処理,9,22
2024-01-11,問い合わせ,23,12
2024-01-11,申請処理,14,18
2024-01-12,問い合わせ,20,13
2024-01-12,申請処理,12,19

2024-01-15,問い合わせ,18,14
2024-01-15,申請処理,11,20
2024-01-16,問い合わせ,22,12
2024-01-16,申請処理,13,18
2024-01-17,問い合わせ,19,14
2024-01-17,申請処理,10,21
2024-01-18,問い合わせ,24,11
2024-01-18,申請処理,15,17
2024-01-19,問い合わせ,21,13
2024-01-19,申請処理,12,19

2024-01-22,問い合わせ,20,14
2024-01-22,申請処理,11,20
2024-01-23,問い合わせ,23,12
2024-01-23,申請処理,14,18
2024-01-24,問い合わせ,18,15
2024-01-24,申請処理,10,21
2024-01-25,問い合わせ,25,11
2024-01-25,申請処理,16,17
2024-01-26,問い合わせ,22,13
2024-01-26,申請処理,13,19

2024-01-29,問い合わせ,19,14
2024-01-29,申請処理,11,20
2024-01-30,問い合わせ,21,13
2024-01-30,申請処理,12,19
2024-01-31,問い合わせ,24,12
2024-01-31,申請処理,15,18
